 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Subgrupo proced. e Ano/mês atendimento
Período:Jan/2018-Set/2021
"Subgrupo proced.";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"0201 Coleta de material";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;9;113;167;441;932;812;1018;958;1024;927;980;1043;942;1074;911;838;1006;938;916;951;1041;945;1051;1056;934;1100;985;859;933;880;917;563;664;738;740;829;869;881;829;720;715;713;779;773;899;869;798;769;349;40200
"0209 Diagnóstico por endoscopia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10;44;123;282;610;527;542;646;660;587;723;630;542;642;577;562;621;605;650;658;655;586;690;679;697;721;631;585;644;608;588;451;515;503;414;545;576;647;541;515;482;550;524;553;708;703;682;622;334;27191
"0211 Métodos diagnósticos em especialidades";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;62;187;581;572;674;706;665;628;697;749;677;725;672;563;729;687;704;762;726;689;754;804;789;859;774;640;667;598;408;66;111;126;118;232;228;315;351;358;355;391;336;303;369;388;355;378;214;23757
"0301 Consultas / Atendimentos / Acompanhamentos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;-;-;-;10;153;2088;4835;13124;31897;28928;32950;31548;31741;30613;31273;31981;30968;32784;30192;30112;32008;30140;32445;33040;34241;30585;31799;32774;32811;34397;31444;31429;31996;30683;29767;21210;23437;25602;27650;28178;29103;30550;29971;29026;29392;27559;28457;27194;30300;29477;27151;24460;16064;1359543
"0303 Tratamentos clínicos (outras especialidades)";68168;523;375;305;324;514;321;520;468;615;1466;137;652;288;384;533;234;345;212;383;453;353;885;294;2917;163;545;310;1309;414;507;2621;531;1636;1063;505;660;555;659;593;445;563;637;1350;693;688;502;594;861;654;473;620;372;1113;875;597;886;2611;1022;1731;4215;878;1082;884;1011;942;721;944;713;5032;917;948;2741;617;1113;820;813;1230;923;3555;3590;885;903;1985;1535;1077;968;1156;1177;1820;1610;1689;1674;1396;969;1410;2868;1470;2571;1993;1356;1671;10484;3225;1663;1755;1682;2841;3249;2422;2327;1439;2258;1920;2196;7325;8169;33195;67566;175336;388315;348685;404883;410757;419858;401191;403933;403021;379717;398090;373967;365609;395958;364088;413294;428466;446271;410195;416112;412321;397565;410829;384206;376065;401130;379398;370649;299143;341971;355416;383920;375173;362237;369099;362512;371331;399789;385784;498687;467772;487247;441574;373332;297262;155385;17938158
"0304 Tratamento em oncologia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;4;15;104;437;2296;5600;13417;29057;25117;27788;27566;27960;26657;27872;28537;26778;29438;28006;26842;30762;27662;28659;29845;30019;27169;29992;29727;29689;31041;29296;28843;32206;28258;28262;24785;24715;25620;26514;27220;28197;28630;27888;27191;28326;26112;27230;25884;27648;25947;24917;22798;12396;1256941
"0305 Tratamento em nefrologia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;1;14;83;282;1596;3688;9222;22103;19692;22194;20968;20223;19130;19296;20139;19461;21304;20262;20004;22843;21077;21469;21053;20853;19286;20375;20285;20372;22113;20620;20296;22602;20222;18081;14037;13947;14425;15145;15588;17047;18879;17052;15971;17120;15674;14113;14255;14785;14190;14356;13104;7702;838603
"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;6;51;264;1863;4106;10584;20295;18378;20666;20159;20002;19442;19958;20321;20380;21338;20939;21619;21573;19960;21488;21031;21543;20930;21423;21705;22091;23760;22765;23240;23153;22428;19609;15262;15797;16717;18311;19615;20947;22649;21968;21495;21018;18893;17745;17638;19416;18437;18484;15668;8701;915835
"0310 Parto e nascimento";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;5;1;1;-;-;3;25;177;3268;9527;33345;96079;89241;101805;102414;103639;95430;95848;92548;91001;90444;88097;89381;94636;88466;100321;96516;98530;91710;91816;89003;88871;85223;81920;83047;86662;82467;93660;92602;92847;84813;84505;81425;81142;77344;75904;80061;83384;78405;89454;86718;89074;80513;75578;66094;44103;3979099
"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;54;519;1148;2735;9277;8622;10293;10165;10439;9914;10652;11511;9937;11422;9936;8469;9902;10117;9606;10689;11386;10034;11653;11785;11667;12666;11150;9521;10432;9867;7838;2390;3132;3938;4874;5852;6960;8159;8492;6920;5954;6435;5331;4290;5549;6074;6278;6489;4436;384963
